person_id,zone_id,entry_time,exit_time,dwell_s,gender,age_range,visit_date,hour_of_day
P_0011,Z_C1,2025-03-10 09:57:50,2025-03-10 09:57:50,18,M,young_adult,2025-03-10,9
P_0011,Z_C2,2025-03-10 09:58:41,2025-03-10 09:59:10,29,M,middle_aged,2025-03-10,9
P_0011,Z_C3,2025-03-10 09:59:20,2025-03-10 09:59:45,25,M,middle_aged,2025-03-10,9
P_0011,Z_CK,2025-03-10 10:00:06,2025-03-10 10:00:06,0,M,child,2025-03-10,10
P_0012,Z_C3,2025-03-10 09:57:57,2025-03-10 09:57:57,0,M,young_adult,2025-03-10,9
P_0012,Z_S5,2025-03-10 09:58:40,2025-03-10 09:58:40,0,M,young_adult,2025-03-10,9
P_0012,Z_N1,2025-03-10 09:59:17,2025-03-10 09:59:17,72,M,young_adult,2025-03-10,9
P_0012,Z_E1,2025-03-10 10:00:26,2025-03-10 10:00:38,12,M,adult,2025-03-10,10
P_0009,Z_S5,2025-03-10 09:25:57,2025-03-10 09:25:57,0,F,teenager,2025-03-10,9
P_0009,Z_CK,2025-03-10 09:55:25,2025-03-10 09:49:30,174,F,teenager,2025-03-10,9
P_0009,Z_E1,2025-03-10 09:49:48,2025-03-10 09:27:34,0,F,teenager,2025-03-10,9
P_0009,Z_N10,2025-03-10 09:42:15,2025-03-10 09:30:25,83,F,teenager,2025-03-10,9
P_0009,Z_E2,2025-03-10 09:58:41,2025-03-10 09:58:58,17,F,teenager,2025-03-10,9
P_0009,Z_C1,2025-03-10 10:00:30,2025-03-10 10:01:03,33,F,teenager,2025-03-10,10
P_0009,Z_S3,2025-03-10 09:36:11,2025-03-10 09:37:09,58,F,teenager,2025-03-10,9
P_0009,Z_C2,2025-03-10 09:59:42,2025-03-10 10:00:11,29,F,teenager,2025-03-10,9
P_0009,Z_C3,2025-03-10 09:45:33,2025-03-10 09:45:49,16,F,teenager,2025-03-10,9
P_0009,Z_N5,2025-03-10 09:38:52,2025-03-10 09:38:52,133,F,teenager,2025-03-10,9
P_0009,Z_S4,2025-03-10 09:40:33,2025-03-10 09:40:33,107,F,adult,2025-03-10,9
P_0009,Z_S6,2025-03-10 09:50:48,2025-03-10 09:50:48,173,F,adult,2025-03-10,9
P_0009,Z_S2,2025-03-10 10:01:30,2025-03-10 10:04:42,192,F,young_adult,2025-03-10,10
P_0015,Z_S4,2025-03-10 10:20:30,2025-03-10 10:20:30,236,F,adult,2025-03-10,10
P_0015,Z_N8,2025-03-10 10:24:42,2025-03-10 10:24:42,37,F,adult,2025-03-10,10
P_0015,Z_N7,2025-03-10 10:27:32,2025-03-10 10:27:32,0,F,adult,2025-03-10,10
P_0018,Z_C2,2025-03-10 10:49:14,2025-03-10 10:49:32,18,F,middle_aged,2025-03-10,10
P_0018,Z_S2,2025-03-10 10:35:40,2025-03-10 10:35:40,126,F,child,2025-03-10,10
P_0018,Z_C1,2025-03-10 10:49:55,2025-03-10 10:50:19,24,F,middle_aged,2025-03-10,10
P_0018,Z_CK,2025-03-10 10:36:34,2025-03-10 10:36:34,274,M,middle_aged,2025-03-10,10
P_0018,Z_E1,2025-03-10 10:44:13,2025-03-10 10:44:27,14,M,middle_aged,2025-03-10,10
P_0018,Z_C3,2025-03-10 10:51:05,2025-03-10 10:46:40,24,M,middle_aged,2025-03-10,10
P_0018,Z_N8,2025-03-10 10:43:30,2025-03-10 10:43:30,58,M,middle_aged,2025-03-10,10
P_0018,Z_N1,2025-03-10 10:46:57,2025-03-10 10:46:57,274,M,middle_aged,2025-03-10,10
P_0018,Z_S5,2025-03-10 10:50:40,2025-03-10 10:50:40,68,M,middle_aged,2025-03-10,10
P_0017,Z_N3,2025-03-10 10:33:53,2025-03-10 10:33:53,249,F,young_adult,2025-03-10,10
P_0017,Z_N2,2025-03-10 10:42:14,2025-03-10 10:45:50,101,F,adult,2025-03-10,10
P_0017,Z_N9,2025-03-10 10:46:10,2025-03-10 10:50:37,267,F,adult,2025-03-10,10
P_0017,Z_C3,2025-03-10 10:36:58,2025-03-10 10:36:58,16,F,adult,2025-03-10,10
P_0017,Z_N6,2025-03-10 10:37:25,2025-03-10 10:41:41,0,F,adult,2025-03-10,10
P_0017,Z_CK,2025-03-10 10:41:56,2025-03-10 10:47:05,134,F,adult,2025-03-10,10
P_0017,Z_E2,2025-03-10 10:47:39,2025-03-10 10:47:51,12,F,young_adult,2025-03-10,10
P_0017,Z_C1,2025-03-10 10:44:33,2025-03-10 10:44:33,32,F,young_adult,2025-03-10,10
P_0017,Z_E1,2025-03-10 10:50:59,2025-03-10 10:51:17,18,F,child,2025-03-10,10
P_0014,Z_N7,2025-03-10 10:52:08,2025-03-10 10:39:38,185,F,teenager,2025-03-10,10
