person_id,zone_id,entry_time,exit_time,dwell_s,gender,age_range,visit_date,hour_of_day
P_00001,Z_E2,2025-03-10 09:00:32,2025-03-10 09:00:42,10,M,adult,2025-03-10,9
P_00003,Z_E2,2025-03-10 09:02:58,2025-03-10 09:03:13,15,F,middle_aged,2025-03-10,9
P_00004,Z_E1,2025-03-10 09:03:03,2025-03-10 09:03:20,17,F,teenager,2025-03-10,9
P_00006,Z_E2,2025-03-10 09:04:52,2025-03-10 09:04:59,7,M,adult,2025-03-10,9
P_00007,Z_E2,2025-03-10 09:06:26,2025-03-10 09:06:42,16,F,senior,2025-03-10,9
P_00009,Z_E2,2025-03-10 09:08:42,2025-03-10 09:08:51,9,M,young_adult,2025-03-10,9
P_00010,Z_E1,2025-03-10 09:08:46,2025-03-10 09:09:02,16,F,adult,2025-03-10,9
P_00011,Z_E2,2025-03-10 09:10:32,2025-03-10 09:10:43,11,M,young_adult,2025-03-10,9
P_00002,Z_C1,2025-03-10 09:01:00,2025-03-10 09:01:23,23,M,adult,2025-03-10,9
P_00002,Z_C2,2025-03-10 09:01:38,2025-03-10 09:02:10,32,M,adult,2025-03-10,9
P_00002,Z_C3,2025-03-10 09:02:44,2025-03-10 09:03:17,33,M,adult,2025-03-10,9
P_00002,Z_N9,2025-03-10 09:03:31,,257,M,adult,2025-03-10,9
P_00002,Z_C1,2025-03-10 09:03:37,,24,M,adult,2025-03-10,9
P_00002,Z_C1,2025-03-10 09:03:46,2025-03-10 09:03:56,10,M,adult,2025-03-10,9
P_00002,Z_C1,2025-03-10 09:05:16,2025-03-10 09:05:46,30,M,adult,2025-03-10,9
P_00002,Z_S4,2025-03-10 09:05:58,2025-03-10 09:07:40,102,M,adult,2025-03-10,9
P_00002,Z_S4,2025-03-10 09:08:08,,203,M,adult,2025-03-10,9
P_00002,Z_C1,2025-03-10 09:09:04,,33,M,adult,2025-03-10,9
P_00002,Z_C1,2025-03-10 09:09:35,2025-03-10 09:09:37,2,M,adult,2025-03-10,9
P_00002,Z_S5,2025-03-10 09:09:56,,152,M,adult,2025-03-10,9
P_00002,Z_S4,2025-03-10 09:11:30,2025-03-10 09:11:31,1,M,adult,2025-03-10,9
P_00002,Z_N3,2025-03-10 09:11:57,,153,M,adult,2025-03-10,9
P_00002,Z_C3,2025-03-10 09:12:10,2025-03-10 09:12:11,1,M,adult,2025-03-10,9
P_00002,Z_S5,2025-03-10 09:12:27,2025-03-10 09:12:28,1,M,adult,2025-03-10,9
P_00002,Z_C3,2025-03-10 09:13:01,2025-03-10 09:13:02,1,M,adult,2025-03-10,9
P_00002,Z_C3,2025-03-10 09:13:40,2025-03-10 09:14:01,21,M,adult,2025-03-10,9
P_00002,Z_N3,2025-03-10 09:14:29,2025-03-10 09:14:30,1,M,adult,2025-03-10,9
P_00002,Z_N10,2025-03-10 09:14:35,,248,M,adult,2025-03-10,9
P_00002,Z_N2,2025-03-10 09:15:00,2025-03-10 09:15:37,37,M,adult,2025-03-10,9
P_00002,Z_N5,2025-03-10 09:16:04,,234,M,adult,2025-03-10,9
P_00002,Z_C2,2025-03-10 09:17:24,2025-03-10 09:17:25,1,M,adult,2025-03-10,9
P_00002,Z_C1,2025-03-10 09:17:48,2025-03-10 09:17:56,8,M,adult,2025-03-10,9
P_00002,Z_S4,2025-03-10 09:18:14,2025-03-10 09:19:10,56,M,adult,2025-03-10,9
P_00002,Z_C1,2025-03-10 09:19:35,2025-03-10 09:19:36,1,M,adult,2025-03-10,9
P_00002,Z_S5,2025-03-10 09:19:38,,101,M,adult,2025-03-10,9
P_00002,Z_S3,2025-03-10 09:19:52,,298,M,adult,2025-03-10,9
P_00002,Z_N9,2025-03-10 09:20:17,2025-03-10 09:20:18,1,M,adult,2025-03-10,9
P_00002,Z_C2,2025-03-10 09:20:29,,16,M,adult,2025-03-10,9
P_00002,Z_C2,2025-03-10 09:20:44,2025-03-10 09:20:45,1,M,adult,2025-03-10,9
P_00002,Z_C2,2025-03-10 09:20:48,,21,M,adult,2025-03-10,9
P_00002,Z_C2,2025-03-10 09:21:04,2025-03-10 09:21:05,1,M,adult,2025-03-10,9
P_00002,Z_C1,2025-03-10 09:21:14,,32,M,adult,2025-03-10,9
P_00002,Z_C1,2025-03-10 09:21:22,,15,M,adult,2025-03-10,9
P_00002,Z_C2,2025-03-10 09:21:29,,0,M,adult,2025-03-10,9
P_00002,Z_N7,2025-03-10 09:21:37,2025-03-10 09:21:38,1,M,adult,2025-03-10,9
P_00002,Z_CK,2025-03-10 09:21:50,,198,M,adult,2025-03-10,9
P_00002,Z_CK,2025-03-10 09:21:55,,290,M,adult,2025-03-10,9
P_00002,Z_C2,2025-03-10 09:22:12,2025-03-10 09:22:54,42,M,adult,2025-03-10,9
P_00002,Z_E2,2025-03-10 09:23:02,2025-03-10 09:23:03,1,M,adult,2025-03-10,9
P_00014,Z_E1,2025-03-10 09:24:41,2025-03-10 09:24:57,16,F,teenager,2025-03-10,9
P_00012,Z_C2,2025-03-10 09:12:04,2025-03-10 09:12:18,14,F,teenager,2025-03-10,9
P_00012,Z_N6,2025-03-10 09:12:36,,276,F,teenager,2025-03-10,9
P_00012,Z_N10,2025-03-10 09:13:26,2025-03-10 09:13:27,1,F,teenager,2025-03-10,9
P_00012,Z_C1,2025-03-10 09:13:51,2025-03-10 09:14:08,17,F,teenager,2025-03-10,9
P_00012,Z_C2,2025-03-10 09:14:20,2025-03-10 09:14:52,32,F,teenager,2025-03-10,9
P_00012,Z_N10,2025-03-10 09:15:05,,331,F,teenager,2025-03-10,9
P_00012,Z_C3,2025-03-10 09:15:15,2025-03-10 09:15:37,22,F,teenager,2025-03-10,9
P_00012,Z_N9,2025-03-10 09:16:09,2025-03-10 09:17:23,74,F,teenager,2025-03-10,9
P_00012,Z_N1,2025-03-10 09:18:00,,240,F,teenager,2025-03-10,9
P_00012,Z_C1,2025-03-10 09:18:45,2025-03-10 09:19:03,18,F,teenager,2025-03-10,9
P_00012,Z_S6,2025-03-10 09:19:15,,157,F,teenager,2025-03-10,9
P_00012,Z_S5,2025-03-10 09:21:18,2025-03-10 09:21:19,1,F,teenager,2025-03-10,9
P_00012,Z_S6,2025-03-10 09:21:51,2025-03-10 09:21:52,1,F,teenager,2025-03-10,9
P_00012,Z_N1,2025-03-10 09:21:59,2025-03-10 09:22:00,1,F,teenager,2025-03-10,9
P_00012,Z_C2,2025-03-10 09:22:54,2025-03-10 09:22:55,1,F,teenager,2025-03-10,9
P_00012,Z_C1,2025-03-10 09:23:13,2025-03-10 09:23:19,6,F,teenager,2025-03-10,9
P_00012,Z_CK,2025-03-10 09:23:52,2025-03-10 09:25:08,76,F,teenager,2025-03-10,9
P_00015,Z_E2,2025-03-10 09:25:17,2025-03-10 09:25:29,12,M,young_adult,2025-03-10,9
P_00017,Z_E1,2025-03-10 09:26:18,2025-03-10 09:26:31,13,M,middle_aged,2025-03-10,9
P_00018,Z_E2,2025-03-10 09:26:26,2025-03-10 09:26:37,11,F,adult,2025-03-10,9
P_00008,Z_N5,2025-03-10 09:08:01,,211,M,adult,2025-03-10,9
P_00008,Z_C1,2025-03-10 09:09:37,2025-03-10 09:10:01,24,M,adult,2025-03-10,9
P_00008,Z_C2,2025-03-10 09:10:26,2025-03-10 09:10:35,9,M,adult,2025-03-10,9
P_00008,Z_C1,2025-03-10 09:10:51,2025-03-10 09:11:03,12,M,adult,2025-03-10,9
P_00008,Z_C2,2025-03-10 09:11:12,2025-03-10 09:11:22,10,M,adult,2025-03-10,9
P_00008,Z_C3,2025-03-10 09:11:52,,19,M,adult,2025-03-10,9
P_00008,Z_C2,2025-03-10 09:12:05,2025-03-10 09:12:13,8,M,adult,2025-03-10,9
P_00008,Z_C3,2025-03-10 09:12:28,,34,M,adult,2025-03-10,9
P_00008,Z_C2,2025-03-10 09:12:58,2025-03-10 09:13:21,23,M,adult,2025-03-10,9
P_00008,Z_N2,2025-03-10 09:13:36,,121,M,adult,2025-03-10,9
P_00008,Z_N8,2025-03-10 09:15:20,2025-03-10 09:15:21,1,M,adult,2025-03-10,9
P_00008,Z_N7,2025-03-10 09:15:44,2025-03-10 09:16:56,72,M,adult,2025-03-10,9
P_00008,Z_N6,2025-03-10 09:17:11,2025-03-10 09:17:12,1,M,adult,2025-03-10,9
P_00008,Z_N7,2025-03-10 09:17:20,,258,M,adult,2025-03-10,9
P_00008,Z_N2,2025-03-10 09:17:48,2025-03-10 09:17:49,1,M,adult,2025-03-10,9
P_00008,Z_C2,2025-03-10 09:18:15,2025-03-10 09:18:21,6,M,adult,2025-03-10,9
P_00008,Z_N10,2025-03-10 09:18:42,2025-03-10 09:18:43,1,M,adult,2025-03-10,9
P_00008,Z_C1,2025-03-10 09:19:08,,28,M,adult,2025-03-10,9
P_00008,Z_N9,2025-03-10 09:19:15,,63,M,adult,2025-03-10,9
P_00008,Z_N5,2025-03-10 09:19:57,2025-03-10 09:19:58,1,M,adult,2025-03-10,9
P_00008,Z_C1,2025-03-10 09:21:36,2025-03-10 09:21:37,1,M,adult,2025-03-10,9
P_00008,Z_C1,2025-03-10 09:21:45,2025-03-10 09:21:46,1,M,adult,2025-03-10,9
P_00008,Z_C3,2025-03-10 09:22:32,2025-03-10 09:22:33,1,M,adult,2025-03-10,9
P_00008,Z_N5,2025-03-10 09:23:00,,142,M,adult,2025-03-10,9
P_00008,Z_C2,2025-03-10 09:25:18,2025-03-10 09:25:38,20,M,adult,2025-03-10,9
P_00008,Z_C3,2025-03-10 09:25:46,,22,M,adult,2025-03-10,9
P_00008,Z_N9,2025-03-10 09:25:56,,43,M,adult,2025-03-10,9
P_00008,Z_C3,2025-03-10 09:26:07,2025-03-10 09:26:08,1,M,adult,2025-03-10,9
P_00008,Z_N7,2025-03-10 09:26:38,,291,M,adult,2025-03-10,9
P_00008,Z_CK,2025-03-10 09:26:44,2025-03-10 09:26:45,1,M,adult,2025-03-10,9
P_00016,Z_S5,2025-03-10 09:25:57,2025-03-10 09:26:39,42,F,teenager,2025-03-10,9
P_00016,Z_C2,2025-03-10 09:26:58,,26,F,teenager,2025-03-10,9
P_00016,Z_CK,2025-03-10 09:27:11,2025-03-10 09:27:12,1,F,teenager,2025-03-10,9
P_00021,Z_E2,2025-03-10 09:27:16,2025-03-10 09:27:24,8,M,adult,2025-03-10,9
P_00020,Z_E2,2025-03-10 09:27:05,2025-03-10 09:27:24,19,M,adult,2025-03-10,9
P_00022,Z_E1,2025-03-10 09:27:27,2025-03-10 09:27:34,7,F,teenager,2025-03-10,9
P_00023,Z_E2,2025-03-10 09:28:59,2025-03-10 09:29:08,9,F,senior,2025-03-10,9
P_00027,Z_E2,2025-03-10 09:31:42,2025-03-10 09:31:52,10,F,teenager,2025-03-10,9
P_00019,Z_N3,2025-03-10 09:26:59,2025-03-10 09:27:35,36,F,adult,2025-03-10,9
P_00019,Z_C1,2025-03-10 09:27:41,,19,F,adult,2025-03-10,9
P_00019,Z_C2,2025-03-10 09:27:48,2025-03-10 09:27:49,1,F,adult,2025-03-10,9
P_00019,Z_C2,2025-03-10 09:27:50,,12,F,adult,2025-03-10,9
P_00019,Z_C1,2025-03-10 09:27:59,2025-03-10 09:28:00,1,F,adult,2025-03-10,9
P_00019,Z_C3,2025-03-10 09:28:21,,30,F,adult,2025-03-10,9
P_00019,Z_C1,2025-03-10 09:28:46,2025-03-10 09:28:47,1,F,adult,2025-03-10,9
P_00019,Z_C3,2025-03-10 09:29:04,,12,F,adult,2025-03-10,9
P_00019,Z_N5,2025-03-10 09:29:14,,0,F,adult,2025-03-10,9
P_00019,Z_C3,2025-03-10 09:29:15,2025-03-10 09:29:16,1,F,adult,2025-03-10,9
P_00019,Z_N1,2025-03-10 09:29:20,2025-03-10 09:29:21,1,F,adult,2025-03-10,9
P_00019,Z_C1,2025-03-10 09:29:53,2025-03-10 09:29:54,1,F,adult,2025-03-10,9
P_00019,Z_C2,2025-03-10 09:30:03,2025-03-10 09:30:13,10,F,adult,2025-03-10,9
P_00019,Z_N3,2025-03-10 09:30:31,2025-03-10 09:30:32,1,F,adult,2025-03-10,9
P_00019,Z_C1,2025-03-10 09:30:35,,17,F,adult,2025-03-10,9
P_00019,Z_C2,2025-03-10 09:30:49,2025-03-10 09:31:10,21,F,adult,2025-03-10,9
